sm,course,dow,month,day,raw_notes,TA
sm00,STAT540-Seminar,mon,january,5,No seminar meeting;  visit  STAT 545A page to review/learn about R/Rstudio Set Up and basics of R ,students work on their own
sm01a,STAT540-Seminar,wed,january,7,"11am-12pm: Getting ready to use GitHub in STAT540, borrowed from STAT545A",TBA
sm01b,STAT540-Seminar,wed,january,7,11am-12pm: Exploring a small gene expression dataset,TBA
sm01c,STAT540-Seminar,wed,january,7,12pm-1pm: Molecular biology/genetics 101,TBA
sm02,STAT540-Seminar,wed,january,14,Learn more R while reviewing probability,TBA
sm03,STAT540-Seminar,wed,january,21,"R graphics AND knitr, R markdown, and git(hub)",TBA
sm04,STAT540-Seminar,wed,january,28,Two group testing and data aggregation,TBA
sm05,STAT540-Seminar,wed,february,4,Fitting and interpretting linear models (low volume),TBA
sm06,STAT540-Seminar,wed,february,11,"Fitting and interpretting linear models (high volume), limma package",TBA
,STAT540-Seminar,wed,february,18,no class; mid-term break,na
sm07,STAT540-Seminar,wed,february,25,RNA-Seq analysis,TBA
sm08,STAT540-Seminar,wed,march,4,Methylation analysis,TBA
sm09,STAT540-Seminar,wed,march,11,Clustering and PCA ,TBA
sm10,STAT540-Seminar,wed,march,18,"Supervised learning, cross validation, variable selection",TBA
sm11,STAT540-Seminar,wed,march,25,TA office hours during seminar time ... group project work,TBA
sm12,STAT540-Seminar,wed,april,1,TA office hours during seminar time ... group project work,TBA
